metric,value,ci_lo,ci_hi,outcome
mean_unadjusted,2.9220361914425843,2.916482045211117,2.9268307119905295,sexornt
mean_ipw_adjusted,2.9259775505702836,2.9207351856430797,2.930855357648764,sexornt
