iter	Passed	Remaining
406	4381	1001
407	4392	990
408	4402	979
409	4412	968
410	4422	957
411	4433	946
412	4444	936
413	4454	925
414	4464	914
415	4474	903
416	4484	892
417	4494	881
418	4503	870
419	4513	859
420	4523	848
421	4533	837
422	4542	826
423	4553	816
424	4563	805
425	4573	794
426	4583	783
427	4593	772
428	4602	761
429	4612	750
430	4622	740
431	4632	729
432	4642	718
433	4651	707
434	4661	696
435	4671	685
436	4681	674
437	4691	664
438	4702	653
439	4712	642
440	4723	631
441	4732	621
442	4742	610
443	4751	599
444	4761	588
445	4770	577
446	4781	566
447	4791	556
448	4801	545
449	4810	534
450	4821	523
451	4830	513
452	4841	502
453	4850	491
454	4860	480
455	4870	469
456	4880	459
457	4891	448
458	4901	437
459	4911	427
460	4922	416
461	4932	405
462	4942	394
463	4952	384
464	4962	373
465	4973	362
466	4983	352
467	4992	341
468	5002	330
469	5012	319
470	5022	309
471	5032	298
472	5042	287
473	5051	277
474	5061	266
475	5072	255
476	5082	245
477	5091	234
478	5103	223
479	5113	213
480	5122	202
481	5132	191
482	5142	180
483	5152	170
484	5161	159
485	5171	148
486	5180	138
487	5190	127
488	5200	116
489	5209	106
490	5220	95
491	5230	85
492	5240	74
493	5250	63
494	5259	53
495	5269	42
496	5279	31
497	5289	21
498	5299	10
499	5309	0
