iter	Logloss
232	0.1552954596
233	0.1552470517
234	0.1552028019
235	0.1550746464
236	0.154971788
237	0.1549122763
238	0.1548177182
239	0.1546798207
240	0.1545492864
241	0.1544375227
242	0.1543968838
243	0.1542451698
244	0.154138306
245	0.1540633271
246	0.1539725722
247	0.1539184405
248	0.1538467885
249	0.1537597907
250	0.1536708574
251	0.1535673252
252	0.1534309745
253	0.1533402784
254	0.1531964062
255	0.15308083
256	0.1529833414
257	0.1528333944
258	0.1527908088
259	0.1527013007
260	0.1526352255
261	0.1525275694
262	0.1524138483
263	0.1522753606
264	0.152153518
265	0.1521024892
266	0.1519432108
267	0.1517744882
268	0.1516277755
269	0.1515447993
270	0.1514640586
271	0.1513800579
272	0.1513036782
273	0.1511159958
274	0.1510647063
275	0.150965451
276	0.1508237972
277	0.1507273177
278	0.1506031159
279	0.1503952548
280	0.150174522
281	0.1500737374
282	0.1500000339
283	0.149908945
284	0.1498236267
285	0.1497714378
286	0.1496618466
287	0.1495707099
288	0.149498757
289	0.1494380019
290	0.1493938844
291	0.1492940162
292	0.1492286651
293	0.1491499347
294	0.1490147284
295	0.1489614582
296	0.1488909887
297	0.1487874117
298	0.148697141
299	0.1486197836
300	0.1485909828
301	0.148544467
302	0.1484602132
303	0.1483832507
304	0.148241473
305	0.1481410151
306	0.1480443001
307	0.1479481891
308	0.1478618294
309	0.1476646383
310	0.1475853204
311	0.14747221
312	0.1474049467
313	0.1473465929
314	0.1472510037
315	0.1471363534
316	0.1470509084
317	0.1469936878
318	0.1468422016
319	0.1466363192
320	0.1465335385
321	0.1464300584
322	0.1463222708
323	0.146245556
324	0.146172862
325	0.1461198217
326	0.1460524226
327	0.1460210862
328	0.1459628275
329	0.1458822663
330	0.1458052255
331	0.1456702995
332	0.1455676875
333	0.1455222346
334	0.1454530836
335	0.1453693212
336	0.1452980855
337	0.145269687
338	0.1451715531
339	0.1450523673
340	0.1449504016
341	0.1448573958
342	0.1447350484
343	0.1445935305
344	0.1445390243
345	0.1443837657
346	0.1442898114
347	0.1442253453
348	0.1441646837
349	0.1441098019
350	0.1440503081
351	0.1439717262
352	0.1439042699
353	0.1437823887
354	0.1436685215
355	0.1436108245
356	0.1435044268
357	0.1433232017
358	0.1432428113
359	0.1431451997
360	0.1430022898
361	0.1429537307
362	0.1428931712
363	0.1428062885
364	0.1427353452
365	0.142574013
366	0.1424030682
367	0.1423489113
368	0.142198083
369	0.14213237
370	0.1420623935
371	0.1419768377
372	0.1418656628
373	0.1417833541
374	0.1417323864
375	0.1416516688
376	0.1415477477
377	0.1414537319
378	0.1413731608
379	0.1412928986
380	0.1412307077
381	0.1411574498
382	0.1411002399
383	0.1410079788
384	0.140891639
385	0.1408441681
386	0.1407449791
387	0.1406831407
388	0.1405937956
389	0.1404398971
390	0.1403768753
391	0.1402794538
392	0.1401210719
393	0.1400125424
394	0.1398845014
395	0.1398275553
396	0.1397539602
397	0.1396786754
398	0.1396127767
399	0.1395212975
400	0.1394590121
401	0.1393158358
402	0.1392925672
403	0.1392397464
404	0.1391817417
405	0.1391058723
406	0.1390406363
407	0.1389516633
408	0.1388747159
409	0.1387242524
410	0.138636286
411	0.1385159282
412	0.1383762247
413	0.1382579129
414	0.1381331298
415	0.1380853953
416	0.1380109993
417	0.1379297873
418	0.1378925788
419	0.1378045859
420	0.1377370931
421	0.1376707551
422	0.137608403
423	0.1375502835
424	0.1374763298
425	0.1373208948
426	0.1372544627
427	0.137180459
428	0.1371157637
429	0.1369523492
430	0.1369244057
431	0.1368138577
432	0.1367168824
433	0.1366638502
434	0.1365556264
435	0.1364335873
436	0.1363177468
437	0.1362437767
438	0.1361610221
439	0.1360959575
440	0.1360416157
441	0.1359459779
442	0.1358836379
443	0.1357969831
444	0.1357442151
445	0.1356684832
446	0.135580709
447	0.1355621671
448	0.1354927306
449	0.1354148492
450	0.1353544779
451	0.1353189307
452	0.1351593109
453	0.135103388
454	0.1350091456
455	0.1349595314
456	0.1348840244
457	0.1348092004
458	0.1347003471
459	0.1345879033
460	0.1344776014
461	0.1343896567
462	0.1343374877
463	0.134237421
464	0.1341679463
465	0.1340191521
466	0.1339659961
467	0.1339248473
468	0.1338242367
469	0.1337212552
470	0.1336840776
471	0.1335861417
472	0.13350133
473	0.1334248586
474	0.133303765
475	0.1332302856
476	0.1330877093
477	0.1330588814
478	0.1330153863
479	0.1329364482
480	0.1328878663
481	0.1328039082
482	0.1327533739
483	0.1325493233
484	0.1325220324
485	0.1323562652
486	0.1323325339
487	0.1322530942
488	0.1322092185
489	0.1321420867
490	0.1319759119
491	0.1318458822
492	0.1318022758
493	0.1317535057
494	0.1316733126
495	0.131601588
496	0.1314937538
497	0.1314270434
498	0.1313448788
499	0.1312822679
