metric,value,ci_lo,ci_hi,outcome
mean_unadjusted,2.9220361914425843,2.916482045211117,2.9268307119905295,sexornt
mean_ipw_adjusted,2.931724512493455,2.9268116123910817,2.936666198608491,sexornt
